Date,Close
3/3/2015 16:00:00,11.5
3/4/2015 16:00:00,15.4
3/5/2015 16:00:00,14.2
3/6/2015 16:00:00,15
3/9/2015 16:00:00,15.6
3/10/2015 16:00:00,14.7
3/11/2015 16:00:00,14.6
3/12/2015 16:00:00,14.3
3/13/2015 16:00:00,14
3/16/2015 16:00:00,12.6
3/17/2015 16:00:00,13.4
3/18/2015 16:00:00,13.5
3/19/2015 16:00:00,15.1
3/20/2015 16:00:00,13.5
3/23/2015 16:00:00,13.9
3/24/2015 16:00:00,14.4
3/25/2015 16:00:00,13.7
3/26/2015 16:00:00,13.6
3/27/2015 16:00:00,13.7
3/30/2015 16:00:00,14.4
3/31/2015 16:00:00,14.5
4/1/2015 16:00:00,15.2
4/2/2015 16:00:00,16.1
4/6/2015 16:00:00,15.3
4/7/2015 16:00:00,15.3
4/8/2015 16:00:00,15.6
4/9/2015 16:00:00,15.8
4/10/2015 16:00:00,15.1
4/13/2015 16:00:00,15
4/14/2015 16:00:00,14.75
4/15/2015 16:00:00,14.8
4/16/2015 16:00:00,17.2
4/17/2015 16:00:00,18.4
4/20/2015 16:00:00,18.1
4/21/2015 16:00:00,19.2
4/22/2015 16:00:00,20.4
4/23/2015 16:00:00,20
4/24/2015 16:00:00,19.2
4/27/2015 16:00:00,18.2
4/28/2015 16:00:00,17
4/29/2015 16:00:00,16.9
4/30/2015 16:00:00,15.2
5/1/2015 16:00:00,15.1
5/4/2015 16:00:00,16
5/5/2015 16:00:00,15.7
5/6/2015 16:00:00,15.8
5/7/2015 16:00:00,13.6
5/8/2015 16:00:00,13.7
5/11/2015 16:00:00,13.4
5/12/2015 16:00:00,12.3
5/13/2015 16:00:00,12.6
5/14/2015 16:00:00,12.3
5/15/2015 16:00:00,11.9
5/18/2015 16:00:00,12.4
5/19/2015 16:00:00,13.4
5/20/2015 16:00:00,16
5/21/2015 16:00:00,22.3
5/22/2015 16:00:00,23.1
5/26/2015 16:00:00,22.7
5/27/2015 16:00:00,21.6
5/28/2015 16:00:00,20
5/29/2015 16:00:00,20.3
6/1/2015 16:00:00,22.8
6/2/2015 16:00:00,23.7
6/3/2015 16:00:00,23.2
6/4/2015 16:00:00,24.9
6/5/2015 16:00:00,24.3
6/8/2015 16:00:00,22.75
6/9/2015 16:00:00,22.1
6/10/2015 16:00:00,22.5
6/11/2015 16:00:00,21.7
6/12/2015 16:00:00,20
6/15/2015 16:00:00,20.2
6/16/2015 16:00:00,18.9
6/17/2015 16:00:00,20.2
6/18/2015 16:00:00,20.8
6/19/2015 16:00:00,19.8
6/22/2015 16:00:00,20.2
6/23/2015 16:00:00,19.8
6/24/2015 16:00:00,18.8
6/25/2015 16:00:00,18.4
6/26/2015 16:00:00,17.6
6/29/2015 16:00:00,16.6
6/30/2015 16:00:00,17.4
7/1/2015 16:00:00,17.2
7/2/2015 16:00:00,17.3
7/6/2015 16:00:00,16.7
7/7/2015 16:00:00,15.9
7/8/2015 16:00:00,14.9
7/9/2015 16:00:00,15.7
7/10/2015 16:00:00,15.7
7/13/2015 16:00:00,16.5
7/14/2015 16:00:00,16
7/15/2015 16:00:00,15.5
7/16/2015 16:00:00,16.2
7/17/2015 16:00:00,17.4
7/20/2015 16:00:00,16.2
7/21/2015 16:00:00,16.8
7/22/2015 16:00:00,16
7/23/2015 16:00:00,16.1
7/24/2015 16:00:00,15.3
7/27/2015 16:00:00,15.1
7/28/2015 16:00:00,15.1
7/29/2015 16:00:00,14.4
7/30/2015 16:00:00,13.8
7/31/2015 16:00:00,14.1
8/3/2015 16:00:00,14.5
8/4/2015 16:00:00,14.4
8/5/2015 16:00:00,14.1
8/6/2015 16:00:00,13.9
8/7/2015 16:00:00,14.2
